city,state,2023_estimate,2020_census,change,location
Huntsville,AL,"225,564","215,006",4.91%,34.78°N 86.53°W
Frisco,TX,"225,007","200,509",12.22%,33.16°N 96.82°W
Cape Coral,FL,"224,455","194,016",15.69%,26.65°N 81.99°W
Santa Clarita,CA,"224,028","228,673",-2.03%,34.41°N 118.49°W
San Bernardino,CA,"223,728","222,101",0.73%,34.14°N 117.29°W
Tacoma,WA,"222,906","219,346",1.62%,47.25°N 122.46°W
Hialeah,FL,"221,300","223,109",-0.81%,25.87°N 80.30°W
Baton Rouge,LA,"219,573","227,470",-3.47%,30.44°N 91.13°W
Modesto,CA,"218,915","218,464",0.21%,37.64°N 121.00°W
Fontana,CA,"215,465","208,393",3.39%,34.11°N 117.46°W
McKinney,TX,"213,509","195,308",9.32%,33.20°N 96.66°W
Moreno Valley,CA,"212,392","208,634",1.80%,33.92°N 117.21°W
Des Moines,IA,"210,381","214,133",-1.75%,41.57°N 93.61°W
Fayetteville,NC,"209,749","208,501",0.60%,35.08°N 78.97°W
Salt Lake City,UT,"209,593","199,723",4.94%,40.78°N 111.93°W
Yonkers,NY,"207,657","211,569",-1.85%,40.95°N 73.87°W
Worcester,MA,"207,621","206,518",0.53%,42.27°N 71.81°W
Rochester,NY,"207,274","211,328",-1.92%,43.17°N 77.62°W
Sioux Falls,SD,"206,410","192,517",7.22%,43.54°N 96.73°W
Little Rock,AR,"203,842","202,591",0.62%,34.72°N 92.36°W
Amarillo,TX,"202,408","200,393",1.01%,35.20°N 101.83°W
Tallahassee,FL,"202,221","196,169",3.09%,30.46°N 84.25°W
Grand Prairie,TX,"202,134","196,100",3.08%,32.69°N 97.02°W
Columbus,GA,"201,877","206,922",-2.44%,32.51°N 84.87°W
Augusta,GA,"200,884","202,081",-0.59%,33.37°N 82.07°W
Peoria,AZ,"198,750","190,985",4.07%,33.79°N 112.31°W
Oxnard,CA,"198,488","202,063",-1.77%,34.20°N 119.21°W
Knoxville,TN,"198,162","190,740",3.89%,35.97°N 83.95°W
Overland Park,KS,"197,089","197,238",-0.08%,38.89°N 94.69°W
Birmingham,AL,"196,644","200,733",-2.04%,33.53°N 86.80°W
Grand Rapids,MI,"196,608","198,917",-1.16%,42.96°N 85.66°W
Albany,NY,"101,228",,,
